n,operation,time,cpu_consumption,cache-misses
100,dot,0.000001,0.456,21970
100,vector_dot,0.000001,0.524,16795
100,even_vector,0.000001,0.525,17744
500,dot,0.000002,0.552,24924
500,vector_dot,0.000004,0.6,19509
500,even_vector,0.000001,0.534,21776
1000,dot,0.000003,0.547,21989
1000,vector_dot,0.000001,0.579,20069
1000,even_vector,0.000003,0.583,18968
5000,dot,0.000013,0.66,19129
5000,vector_dot,0.000006,0.649,19060
5000,even_vector,0.000006,0.607,18281
10000,dot,0.000024,0.695,19688
10000,vector_dot,0.000009,0.701,22846
10000,even_vector,0.000011,0.699,19599
50000,dot,0.000122,0.888,31871
50000,vector_dot,0.000172,0.89,43775
50000,even_vector,0.000054,0.8,33307
100000,dot,0.001275,0.936,64454
100000,vector_dot,0.001147,0.927,65672
100000,even_vector,0.000968,0.937,62428
500000,dot,0.003087,0.981,210201
500000,vector_dot,0.000568,0.979,198049
500000,even_vector,0.000567,0.981,184367
1000000,dot,0.002465,0.991,398266
1000000,vector_dot,0.002487,0.992,397935
1000000,even_vector,0.001067,0.99,354378
5000000,dot,0.010934,0.997,1933375
5000000,vector_dot,0.007083,0.997,1776878
5000000,even_vector,0.004807,0.998,1792578
10000000,dot,0.022434,0.999,3887368
10000000,vector_dot,0.009349,0.999,3719650
10000000,even_vector,0.009397,0.999,3714709
50000000,dot,0.109370,1.0,19929592
50000000,vector_dot,0.049121,1.0,19189667
50000000,even_vector,0.048471,0.999,18456028
100000000,dot,0.220144,1.0,36659179
100000000,vector_dot,0.097527,1.0,36948477
100000000,even_vector,0.100246,0.999,37396836
500000000,dot,1.141426,1.0,186350896
500000000,vector_dot,0.510202,1.0,178536688
500000000,even_vector,0.515103,1.0,178942369
1000000000,dot,10.918664,0.432,589603307
1000000000,vector_dot,6.979360,0.408,587372951
1000000000,even_vector,6.697004,0.408,590406359
