n,program,instructions,CPI,l1-cache-hit ratio,l2-cache-hit ratio,l3-cache-hit ratio,time
16,basic,1354148,0.96,0.96,0.50,0.67,0.0011
16,strassen,1354308,0.93,0.96,0.51,0.67,0.0008
32,basic,2968127,0.62,0.99,0.48,0.70,0.0009
32,strassen,2955421,0.66,0.99,0.52,0.66,0.0010
64,basic,15086215,0.35,1.00,0.53,0.51,0.0031
64,strassen,15080756,0.34,0.99,0.52,0.62,0.0027
128,basic,109435723,0.29,1.00,0.71,0.61,0.0103
128,strassen,109431238,0.33,1.00,0.69,0.87,0.0133
256,basic,853765941,0.32,0.98,0.79,0.93,0.0927
256,strassen,853765008,0.32,0.99,0.78,0.94,0.0878
512,basic,6767927655,0.51,0.95,0.95,0.93,0.9171
512,strassen,6766825691,0.38,0.95,0.95,0.80,0.9605
1024,basic,53932675287,0.88,0.95,0.92,0.66,13.3419
1024,strassen,53917195100,0.55,0.95,0.91,0.61,11.2847
