time,l1_size,l2_size,miss_rate
51.0,16,512,0.006232737769443012
65.0,16,1024,0.0062326716474593695
78.0,16,1536,0.006232621443731048
98.0,16,2048,0.006232572464483905
73.0,32,512,0.004934026092866166
99.0,32,1024,0.0049339611953637015
114.0,32,1536,0.00493391099163538
138.0,32,2048,0.004933862012388238
63.0,48,512,0.004933945277108381
82.0,48,1024,0.004933880379605916
101.0,48,1536,0.004933830175877595
107.0,48,2048,0.004933781196630452
53.0,64,512,0.004933898746823595
85.0,64,1024,0.00493383384932113
92.0,64,1536,0.004933783645592809
165.0,64,2048,0.0049337346663456665
